Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-05,,
Horizontal Delay,0.0007572,,
Sample Interval,4e-07,,
Record Length,1000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.2,,
Vertical Position,0,,
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
6.688e-04,-0.00915625,0.00955469,-0.00454687
6.692e-04,-0.00890625,0.009625,-0.00478125
6.696e-04,-0.0084375,0.00954687,-0.00470312
6.700e-04,-0.00709375,0.00962344,-0.00364063
6.704e-04,-0.00909375,0.00950781,-0.0050625
6.708e-04,-0.00871875,0.00950313,-0.00465625
6.712e-04,-0.00865625,0.00938125,-0.00478125
6.716e-04,-0.00909375,0.00941875,-0.00445313
6.720e-04,-0.00821875,0.00934219,-0.00432813
6.724e-04,-0.00834375,0.00942344,-0.0045
6.728e-04,-0.0080625,0.00945781,-0.00479687
6.732e-04,-0.008875,0.00933594,-0.00453125
6.736e-04,-0.00790625,0.00925,-0.00432813
6.740e-04,-0.00875,0.00941719,-0.00467187
6.744e-04,-0.00859375,0.00935156,-0.00429688
6.748e-04,-0.00828125,0.0093,-0.0041875
6.752e-04,-0.00828125,0.00931563,-0.00390625
6.756e-04,-0.0085625,0.00927969,-0.0045
6.760e-04,-0.00865625,0.00928594,-0.00470312
6.764e-04,-0.00915625,0.00917188,-0.00514063
6.768e-04,-0.00853125,0.00902656,-0.0046875
6.772e-04,-0.0069375,0.0091875,-0.00403125
6.776e-04,-0.0086875,0.00911563,-0.00479687
6.780e-04,-0.00846875,0.00909531,-0.00442188
6.784e-04,-0.00809375,0.00923906,-0.00440625
6.788e-04,-0.00871875,0.00900313,-0.00439063
6.792e-04,-0.00840625,0.00907344,-0.00473437
6.796e-04,-0.009875,0.00910781,-0.00517188
6.800e-04,-0.00971875,0.00891406,-0.00473437
6.804e-04,-0.00840625,0.00900469,-0.00420313
6.808e-04,-0.008375,0.00893594,-0.00510938
6.812e-04,-0.00871875,0.00901719,-0.0045625
6.816e-04,-0.009,0.00879531,-0.00471875
6.820e-04,-0.00834375,0.00879219,-0.00448438
6.824e-04,-0.008875,0.00880469,-0.00490625
6.828e-04,-0.0071875,0.00875781,-0.00385937
6.832e-04,-0.00996875,0.00870625,-0.005125
6.836e-04,-0.00859375,0.00875156,-0.00467187
6.840e-04,-0.00884375,0.00879375,-0.00471875
6.844e-04,-0.0088125,0.00872656,-0.00465625
6.848e-04,-0.0080625,0.00870625,-0.00425
6.852e-04,-0.00834375,0.00866094,-0.00476562
6.856e-04,-0.0090625,0.00874063,-0.0045
6.860e-04,-0.00915625,0.00889063,-0.00467187
6.864e-04,-0.00809375,0.00866406,-0.0044375
6.868e-04,-0.0095625,0.00859531,-0.00473437
6.872e-04,-0.0081875,0.00865,-0.004375
6.876e-04,-0.0079375,0.00848125,-0.0041875
6.880e-04,-0.008625,0.00859688,-0.00478125
6.884e-04,-0.00803125,0.00852813,-0.00448438
6.888e-04,-0.00890625,0.0084875,-0.00485937
6.892e-04,-0.0089375,0.00851875,-0.0046875
6.896e-04,-0.00859375,0.00850469,-0.00484375
6.900e-04,-0.00703125,0.00856719,-0.00415625
6.904e-04,-0.0083125,0.0086,-0.0043125
6.908e-04,-0.008375,0.00849844,-0.00465625
6.912e-04,-0.008625,0.00843125,-0.00464062
6.916e-04,-0.00796875,0.0084625,-0.00453125
6.920e-04,-0.007875,0.00838906,-0.00471875
6.924e-04,-0.00971875,0.00829844,-0.00498438
6.928e-04,-0.0086875,0.00835781,-0.00498438
6.932e-04,-0.00853125,0.00826719,-0.004125
6.936e-04,-0.00821875,0.00840938,-0.00426563
6.940e-04,-0.009375,0.00825469,-0.00470312
6.944e-04,-0.00875,0.00825,-0.00460937
6.948e-04,-0.0090625,0.00820156,-0.00479687
6.952e-04,-0.0085,0.00815313,-0.00503125
6.956e-04,-0.00759375,0.0083125,-0.00371875
6.960e-04,-0.0093125,0.00822969,-0.005125
6.964e-04,-0.00871875,0.00812344,-0.0046875
6.968e-04,-0.00928125,0.00803125,-0.0045625
6.972e-04,-0.0089375,0.00804375,-0.00473437
6.976e-04,-0.0085,0.00815469,-0.00453125
6.980e-04,-0.00828125,0.00797344,-0.00479687
6.984e-04,-0.00796875,0.00799688,-0.00460937
6.988e-04,-0.0085625,0.00810938,-0.00482812
6.992e-04,-0.00778125,0.00796875,-0.00403125
6.996e-04,-0.0084375,0.00805625,-0.00465625
7.000e-04,-0.00878125,0.00804375,-0.00426563
7.004e-04,-0.00790625,0.00800312,-0.0043125
7.008e-04,-0.0085625,0.00791563,-0.00423438
7.012e-04,-0.00846875,0.00789219,-0.00439063
7.016e-04,-0.0088125,0.00794375,-0.00475
7.020e-04,-0.009,0.00796406,-0.00460937
7.024e-04,-0.0089375,0.00790313,-0.0046875
7.028e-04,-0.00734375,0.00790781,-0.00365625
7.032e-04,-0.0080625,0.00798125,-0.00434375
7.036e-04,-0.008125,0.00765938,-0.00475
7.040e-04,-0.0088125,0.00769688,-0.00445313
7.044e-04,-0.00828125,0.00780938,-0.00439063
7.048e-04,-0.00840625,0.00774844,-0.0046875
7.052e-04,-0.00925,0.0077375,-0.00479687
7.056e-04,-0.00921875,0.00762656,-0.00465625
7.060e-04,-0.00825,0.00761875,-0.00442188
7.064e-04,-0.00775,0.00768438,-0.00451562
7.068e-04,-0.0088125,0.00757344,-0.004625
7.072e-04,-0.00859375,0.00755938,-0.00446875
7.076e-04,-0.00871875,0.00763594,-0.00471875
7.080e-04,-0.0089375,0.00760469,-0.00467187
7.084e-04,-0.007,0.00772344,-0.00421875
7.088e-04,-0.00896875,0.00743281,-0.00517188
7.092e-04,-0.009,0.0074875,-0.00459375
7.096e-04,-0.00934375,0.00749531,-0.0049375
7.100e-04,-0.00803125,0.00747031,-0.0046875
7.104e-04,-0.00734375,0.00749375,-0.00420313
7.108e-04,-0.00890625,0.00744219,-0.00470312
7.112e-04,-0.007625,0.00752344,-0.00448438
7.116e-04,-0.00878125,0.00735938,-0.00496875
7.120e-04,-0.00771875,0.00739531,-0.00428125
7.124e-04,-0.0090625,0.00737344,-0.00485937
7.128e-04,-0.00790625,0.00756563,-0.0044375
7.132e-04,-0.008625,0.00739844,-0.00446875
7.136e-04,-0.00825,0.00743906,-0.00414063
7.140e-04,-0.00775,0.00733281,-0.0044375
7.144e-04,-0.0085,0.00725469,-0.00459375
7.148e-04,-0.0091875,0.00726875,-0.00492188
7.152e-04,-0.00909375,0.00743906,-0.00467187
7.156e-04,-0.0068125,0.00735625,-0.00414063
7.160e-04,-0.00815625,0.00715156,-0.0048125
7.164e-04,-0.00796875,0.00727344,-0.00460937
7.168e-04,-0.0085,0.00721406,-0.00446875
7.172e-04,-0.00825,0.00710469,-0.0044375
7.176e-04,-0.00765625,0.00717344,-0.00460937
7.180e-04,-0.009125,0.00713594,-0.0050625
7.184e-04,-0.00896875,0.0071125,-0.00485937
7.188e-04,-0.0080625,0.00713438,-0.00426563
7.192e-04,-0.0083125,0.00707344,-0.00445313
7.196e-04,-0.0085625,0.00713594,-0.00471875
7.200e-04,-0.0081875,0.00709375,-0.0044375
7.204e-04,-0.0085,0.00704844,-0.00484375
7.208e-04,-0.00834375,0.00685781,-0.00457812
7.212e-04,-0.0063125,0.00702031,-0.00420313
7.216e-04,-0.00878125,0.00694531,-0.00509375
7.220e-04,-0.0083125,0.00701406,-0.00459375
7.224e-04,-0.0091875,0.00697344,-0.0049375
7.228e-04,-0.0090625,0.00695,-0.00457812
7.232e-04,-0.00784375,0.00697188,-0.00432813
7.236e-04,-0.00828125,0.00687344,-0.00475
7.240e-04,-0.00778125,0.00683125,-0.00457812
7.244e-04,-0.0085625,0.00685313,-0.00473437
7.248e-04,-0.007875,0.00673906,-0.00440625
7.252e-04,-0.008375,0.00690469,-0.00498438
7.256e-04,-0.00859375,0.00689844,-0.00434375
7.260e-04,-0.0081875,0.00677031,-0.00415625
7.264e-04,-0.0085,0.00679844,-0.00465625
7.268e-04,-0.0081875,0.00676094,-0.00428125
7.272e-04,-0.00878125,0.00671875,-0.00478125
7.276e-04,-0.009125,0.00667969,-0.00484375
7.280e-04,-0.00896875,0.0066,-0.00473437
7.284e-04,-0.00696875,0.00664375,-0.00359375
7.288e-04,-0.00840625,0.00658437,-0.0045
7.292e-04,-0.00821875,0.00664375,-0.004625
7.296e-04,-0.00896875,0.00668281,-0.00464062
7.300e-04,-0.0090625,0.00673906,-0.00448438
7.304e-04,-0.008125,0.00650313,-0.00459375
7.308e-04,-0.00915625,0.00664375,-0.00525
7.312e-04,-0.00934375,0.00666406,-0.004875
7.316e-04,-0.00821875,0.00655156,-0.0045625
7.320e-04,-0.00853125,0.0066375,-0.0048125
7.324e-04,-0.008875,0.00678281,-0.00489063
7.328e-04,-0.008875,0.00644844,-0.00445313
7.332e-04,-0.00846875,0.00631719,-0.005
7.336e-04,-0.0084375,0.00649688,-0.004875
7.340e-04,-0.008,0.00654688,-0.00442188
7.344e-04,-0.0099375,0.00634688,-0.00517188
7.348e-04,-0.009,0.00645469,-0.00470312
7.352e-04,-0.00896875,0.00624375,-0.0045
7.356e-04,-0.0089375,0.00625625,-0.004625
7.360e-04,-0.00859375,0.00627656,-0.00420313
7.364e-04,-0.0083125,0.00622656,-0.00501563
7.368e-04,-0.00903125,0.00640312,-0.00460937
7.372e-04,-0.008875,0.0063375,-0.00464062
7.376e-04,-0.0075625,0.0063875,-0.00404688
7.380e-04,-0.0094375,0.00622656,-0.00475
7.384e-04,-0.0086875,0.00632656,-0.00442188
7.388e-04,-0.00821875,0.00620781,-0.00439063
7.392e-04,-0.00840625,0.00618281,-0.00473437
7.396e-04,-0.00834375,0.00611563,-0.004375
7.400e-04,-0.0080625,0.00622969,-0.0046875
7.404e-04,-0.0094375,0.00602656,-0.0046875
7.408e-04,-0.009,0.00616875,-0.00460937
7.412e-04,-0.0078125,0.00604219,-0.00415625
7.416e-04,-0.00825,0.00612344,-0.00464062
7.420e-04,-0.00815625,0.00609844,-0.00479687
7.424e-04,-0.0086875,0.00600156,-0.00451562
7.428e-04,-0.0085625,0.00607344,-0.00476562
7.432e-04,-0.008125,0.00603281,-0.00425
7.436e-04,-0.0095,0.00613438,-0.00479687
7.440e-04,-0.00915625,0.0060625,-0.00495313
7.444e-04,-0.0085,0.00603281,-0.0043125
7.448e-04,-0.00853125,0.00601719,-0.00501563
7.452e-04,-0.0095625,0.00585313,-0.00479687
7.456e-04,-0.0085,0.00600313,-0.00442188
7.460e-04,-0.00871875,0.00580938,-0.00467187
7.464e-04,-0.009,0.005825,-0.00471875
7.468e-04,-0.00746875,0.00579219,-0.00389062
7.472e-04,-0.0093125,0.00582031,-0.00498438
7.476e-04,-0.00903125,0.00592344,-0.00484375
7.480e-04,-0.00940625,0.00585313,-0.004875
7.484e-04,-0.00859375,0.00587031,-0.00479687
7.488e-04,-0.0079375,0.00579844,-0.0043125
7.492e-04,-0.0084375,0.00580156,-0.0043125
7.496e-04,-0.008125,0.00597344,-0.0046875
7.500e-04,-0.0083125,0.00595156,-0.0049375
7.504e-04,-0.00778125,0.00575469,-0.00414063
7.508e-04,-0.00903125,0.0057875,-0.00521875
7.512e-04,-0.00828125,0.00570625,-0.004375
7.516e-04,-0.00846875,0.00577344,-0.0045625
7.520e-04,-0.00859375,0.00557813,-0.0045
7.524e-04,-0.00815625,0.00564375,-0.00425
7.528e-04,-0.00840625,0.00574375,-0.00471875
7.532e-04,-0.0091875,0.00564063,-0.005375
7.536e-04,-0.0091875,0.00556094,-0.004625
7.540e-04,-0.00746875,0.00572969,-0.00425
