Model,DPO4054
Firmware Version,2.68

Waveform Type,ANALOG,,,,Waveform Type,ANALOG
Point Format,Y,,,,Point Format,Y
Horizontal Units,s,,,,Horizontal Units,s
Horizontal Scale,0.0002,,,,Horizontal Scale,0.0002
Horizontal Delay,0.0002,,,,Horizontal Delay,0.0002
Sample Interval,2e-06,,,,Sample Interval,2e-06
Record Length,1000,,,,Record Length,1000
Gating,0.0% to 100.0%,,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,,Probe Attenuation,1
Vertical Units,V,,,,Vertical Units,V/s
Vertical Offset,0,,,,Vertical Offset,0
Vertical Scale,0.01,,,,Vertical Scale,100
Vertical Position,0,,,,Vertical Position,0
,,,,,,
,,,,,,
,,,,,,
Label,,,,,Label,
TIME,CH2,CH3,CH4,,TIME,"MATH<DIFF(CH3)-DIFF(CH2)>"
-3.560e-04,0.0192187,0.0084625,-0.000317188,,-3.560e-04,-78.1094
-3.540e-04,0.0193203,0.00853594,-0.000309375,,-3.540e-04,-14.0625
-3.520e-04,0.0194109,0.00852813,-0.0003,,-3.520e-04,-49.2031
-3.500e-04,0.0194969,0.00855625,-0.000292188,,-3.500e-04,-28.9062
-3.480e-04,0.0195813,0.00860469,-0.000301563,,-3.480e-04,-17.9688
-3.460e-04,0.0196859,0.00867031,-0.000315625,,-3.460e-04,-19.5156
-3.440e-04,0.0197875,0.00877969,-0.000295313,,-3.440e-04,3.89062
-3.420e-04,0.0198656,0.00872969,-0.000289063,,-3.420e-04,-64.0469
-3.400e-04,0.0199469,0.00870938,-0.00028125,,-3.400e-04,-50.7656
-3.380e-04,0.0200359,0.00866094,-0.00026875,,-3.380e-04,-68.75
-3.360e-04,0.0201406,0.00868125,-0.00028125,,-3.360e-04,-42.1875
-3.340e-04,0.0202078,0.00892813,-0.000259375,,-3.340e-04,89.8438
-3.320e-04,0.0203125,0.00886406,-0.000254688,,-3.320e-04,-84.3594
-3.300e-04,0.0203938,0.00900313,-0.00026875,,-3.300e-04,28.8906
-3.280e-04,0.0204703,0.00916563,-0.000276563,,-3.280e-04,42.9688
-3.260e-04,0.0205641,0.00915625,-0.000275,,-3.260e-04,-51.5625
-3.240e-04,0.02065,0.009275,-0.000275,,-3.240e-04,16.4062
-3.220e-04,0.0207109,0.00927031,-0.000284375,,-3.220e-04,-32.8125
-3.200e-04,0.0207953,0.00936406,-0.000267188,,-3.200e-04,4.6875
-3.180e-04,0.0208453,0.00938125,-0.000301563,,-3.180e-04,-16.4062
-3.160e-04,0.0209094,0.0094375,-0.000309375,,-3.160e-04,-3.90625
-3.140e-04,0.0209984,0.00953906,-0.000309375,,-3.140e-04,6.25
-3.120e-04,0.0210797,0.00973281,-0.000295313,,-3.120e-04,56.25
-3.100e-04,0.0211656,0.0097625,-0.000271875,,-3.100e-04,-28.125
-3.080e-04,0.0212266,0.00980313,-0.00025625,,-3.080e-04,-10.1406
-3.060e-04,0.0212984,0.00967656,-0.000275,,-3.060e-04,-99.2188
