Stimulus (mV),Current (mA),,,,,,,,
-224.0293274,-0.000461253,,,,,,,,
-174.0659485,-1.87501E-06,,,,,,,,
-222.954834,-0.000461253,,,,,,,,
-172.9914551,0,,,,,,,,
-221.8803711,-0.000466878,,,,,,,,
-171.9169922,2.34376E-06,,,,,,,,
-220.8058777,-0.000470159,,,,,,,,
-170.8424988,4.21878E-06,,,,,,,,
-219.7313843,-0.000474378,,,,,,,,
-169.7680359,5.62503E-06,,,,,,,,
-218.6569214,-0.000480472,,,,,,,,
-168.6935425,4.68753E-06,,,,,,,,
-218.1196594,-0.00048469,,,,,,,,
-168.156311,7.50005E-06,,,,,,,,
-217.0451965,-0.000488909,,,,,,,,
-167.0818176,1.12501E-05,,,,,,,,
-215.9707031,-0.000488909,,,,,,,,
-166.0073242,1.17188E-05,,,,,,,,
-214.8962402,-0.000492659,,,,,,,,
-164.9328613,1.26563E-05,,,,,,,,
-213.8217468,-0.000497816,,,,,,,,
-163.8583679,1.35938E-05,,,,,,,,
-212.7472534,-0.000502034,,,,,,,,
-162.783905,1.40626E-05,,,,,,,,
-211.6727905,-0.000505784,,,,,,,,
-161.7094116,1.50001E-05,,,,,,,,
-211.1355591,-0.000509534,,,,,,,,
-161.1721802,1.64063E-05,,,,,,,,
-210.0610657,-0.000515159,,,,,,,,
-160.0976868,1.92189E-05,,,,,,,,
-208.9865723,-0.000514222,,,,,,,,
-159.0232239,2.06251E-05,,,,,,,,
-207.9121094,-0.000519847,,,,,,,,
-157.9487305,1.96876E-05,,,,,,,,
-206.837616,-0.000521253,,,,,,,,
-156.8742371,2.01564E-05,,,,,,,,
-205.7631531,-0.000526409,,,,,,,,
-155.7997742,2.25001E-05,,,,,,,,
-204.6886597,-0.000531566,,,,,,,,
-154.7252808,2.25001E-05,,,,,,,,
-204.1514282,-0.000535316,,,,,,,,
-154.1880493,2.34376E-05,,,,,,,,
-203.0769348,-0.000540941,,,,,,,,
-153.1135559,2.71877E-05,,,,,,,,
-202.0024414,-0.000544691,,,,,,,,
-152.039093,2.62502E-05,,,,,,,,
-200.9279785,-0.000541878,,,,,,,,
-150.9645996,2.67189E-05,,,,,,,,
-199.8534851,-0.000547503,,,,,,,,
-149.8901062,2.62502E-05,,,,,,,,
-198.7790222,-0.000553128,,,,,,,,
-148.8156433,2.53127E-05,,,,,,,,
-197.7045288,-0.000553597,,,,,,,,
-147.7411499,2.57814E-05,,,,,,,,
-197.1672974,-0.000559222,,,,,,,,
-147.2039185,2.76564E-05,,,,,,,,
-196.092804,-0.000563441,,,,,,,,
-146.129425,3.09377E-05,,,,,,,,
-195.0183411,-0.00056766,,,,,,,,
-145.0549622,2.90627E-05,,,,,,,,
-193.9438477,-0.000566722,,,,,,,,
-143.9804688,2.90627E-05,,,,,,,,
-192.8693542,-0.000570941,,,,,,,,
-142.9060059,3.04689E-05,,,,,,,,
-191.7948914,-0.000574222,,,,,,,,
-141.8315125,2.76564E-05,,,,,,,,
-190.7203979,-0.000577503,,,,,,,,
-140.757019,2.67189E-05,,,,,,,,
-189.6459351,-0.000581254,,,,,,,,
-139.6825562,2.76564E-05,,,,,,,,
-189.1086731,-0.000584066,,,,,,,,
-139.1452942,2.67189E-05,,,,,,,,
-188.0342102,-0.00059016,,,,,,,,
-138.0708313,2.85939E-05,,,,,,,,
