N,X,Y,Z,Time,Jitter,Time Calculated,Sender
229,-1.025,0.007,0.007,1654115204.907146,-0.01521091461182067,1654115204.9223568,20.0
230,-1.025,0.007,0.007,1654115205.11274,-0.009616851806640625,1654115205.122357,20.0
231,-1.025,0.007,0.007,1654115205.381401,0.05904417037963583,1654115205.322357,20.0
232,-1.025,0.007,0.007,1654115205.516682,-0.005674982070928536,1654115205.522357,20.0
233,-1.025,0.007,0.008,1654115205.718138,-0.00421891212463521,1654115205.7223568,20.0
234,-1.025,0.007,0.007,1654115205.918588,-0.0037689685821575836,1654115205.9223568,20.0
235,-1.025,0.007,0.007,1654115206.119526,-0.002830982208251953,1654115206.122357,20.0
236,-1.025,0.007,0.007,1654115206.340541,0.01818399429321005,1654115206.322357,20.0
237,-1.025,0.007,0.008,1654115206.529371,0.0070141315460148235,1654115206.522357,20.0
238,-1.026,0.007,0.007,1654115206.702542,-0.01981482505798482,1654115206.7223568,20.0
239,-1.025,0.007,0.007,1654115206.956195,0.03383822441100648,1654115206.9223568,20.0
240,-1.025,0.007,0.007,1654115207.112911,-0.009445905685424805,1654115207.122357,20.0
241,-1.026,0.007,0.007,1654115207.31785,-0.004506778717043858,1654115207.322357,20.0
242,-1.025,0.007,0.007,1654115207.507239,-0.01511778831482502,1654115207.522357,20.0
243,-1.026,0.007,0.007,1654115207.714237,-0.008119916915894976,1654115207.7223568,20.0
244,-1.025,0.007,0.007,1654115207.919993,-0.0023639678955120758,1654115207.9223568,20.0
245,-1.025,0.007,0.007,1654115208.126442,0.004085063934326172,1654115208.122357,20.0
246,-1.025,0.007,0.007,1654115208.327623,0.005265998840329189,1654115208.322357,20.0
247,-1.025,0.007,0.008,1654115208.504467,-0.017889881134038887,1654115208.522357,20.0
248,-1.025,0.007,0.007,1654115208.710043,-0.012313938140870562,1654115208.7223568,20.0
249,-1.016,-0.14100000000000001,-0.027,1654115208.915144,-0.007212924957279654,1654115208.9223568,20.0
250,-1.124,0.065,0.043000000000000003,1654115209.104027,-0.018329858779907227,1654115209.122357,20.0
251,-1.034,0.129,-0.009000000000000001,1654115209.309465,-0.012891960144045811,1654115209.322357,20.0
252,-1.034,0.088,0.033,1654115209.514663,-0.007693910598760567,1654115209.522357,20.0
253,-1.027,0.025,0.004,1654115209.720567,-0.0017899036407484914,1654115209.7223568,20.0
254,-0.992,0.014,0.005,1654115209.926519,0.004162025451655893,1654115209.9223568,20.0
255,-1.025,0.007,0.007,1654115210.116091,-0.006265878677368164,1654115210.122357,20.0
256,-1.026,0.007,0.007,1654115210.305259,-0.017097902297976475,1654115210.322357,20.0
257,-1.025,0.007,0.007,1654115210.589873,0.06751618385314373,1654115210.522357,20.0
258,-1.025,0.007,0.007,1654115210.715329,-0.0070279598236098195,1654115210.7223568,20.0
259,-1.025,0.007,0.008,1654115210.906024,-0.016332912445072623,1654115210.9223568,20.0
260,-1.025,0.007,0.008,1654115211.111953,-0.010403871536254883,1654115211.122357,20.0
261,-1.025,0.007,0.007,1654115211.318231,-0.004125785827639561,1654115211.322357,20.0
262,-1.025,0.007,0.007,1654115211.585649,0.06329212188720135,1654115211.522357,20.0
263,-1.025,0.007,0.007,1654115211.71661,-0.005746936798097124,1654115211.7223568,20.0
264,-1.025,0.007,0.007,1654115211.922322,-3.4856796268911694e-05,1654115211.9223568,20.0
265,-1.025,0.007,0.007,1654115212.096507,-0.02584981918334961,1654115212.122357,20.0
266,-1.025,0.007,0.007,1654115212.303257,-0.019099903106692295,1654115212.322357,20.0
267,-1.025,0.007,0.007,1654115212.509127,-0.013229990005498848,1654115212.522357,20.0
268,-1.025,0.007,0.007,1654115212.714555,-0.007801866531373491,1654115212.7223568,20.0
269,-1.025,0.007,0.007,1654115212.920317,-0.0020399570465130523,1654115212.9223568,20.0
270,-1.025,0.007,0.007,1654115213.120591,-0.0017659664154052734,1654115213.122357,20.0
271,-1.025,0.006,0.007,1654115213.325123,0.0027661800384493063,1654115213.322357,20.0
272,-1.025,0.007,0.007,1654115213.517631,-0.004725837707525216,1654115213.522357,20.0
273,-1.025,0.007,0.007,1654115213.722218,-0.00013885498047017109,1654115213.7223568,20.0
274,-1.025,0.007,0.007,1654115213.896737,-0.025619792938236685,1654115213.9223568,20.0
275,-1.025,0.007,0.008,1654115214.102848,-0.019508838653564453,1654115214.122357,20.0
276,-1.025,0.007,0.007,1654115214.308587,-0.013769817352297764,1654115214.322357,20.0
277,-1.025,0.007,0.007,1654115214.513236,-0.009120845794683419,1654115214.522357,20.0
278,-1.025,0.007,0.007,1654115214.830111,0.10775413513183452,1654115214.7223568,20.0
279,-1.025,0.008,0.007,1654115214.980856,0.058499050140376596,1654115214.9223568,20.0
280,-1.025,0.007,0.007,1654115216.201917,1.0795600414276123,1654115215.122357,20.0
281,-1.025,0.007,0.008,1654115216.201917,0.8795600414276095,1654115215.322357,20.0
282,-1.025,0.007,0.007,1654115216.201917,0.6795600414276066,1654115215.522357,20.0
283,-1.025,0.006,0.007,1654115216.201917,0.4795600414276109,1654115215.7223568,20.0
284,-1.025,0.007,0.007,1654115216.201917,0.27956004142760804,1654115215.9223568,20.0
285,-1.025,0.007,0.007,1654115216.201917,0.0795600414276123,1654115216.122357,20.0
